Musteri_Memnuniyeti,Maliyet,Oy_Sayisi,Mutfak_Turu,Rezervasyon,Online_Teslimat,Maliyet_Kategori
0.0,400,0,"Street Food, Chinese, North Indian",No,No,Orta
0.0,300,0,North Indian,No,No,Ekonomik
0.0,600,0,"North Indian, Chinese, Continental",No,No,Orta
0.0,200,0,Healthy Food,No,No,Ekonomik
0.0,400,0,North Indian,No,No,Orta
0.0,200,0,Street Food,No,No,Ekonomik
0.0,200,1,"Chinese, North Indian",No,No,Ekonomik
0.0,300,0,Mughlai,No,No,Ekonomik
0.0,600,0,"Fast Food, North Indian, Beverages",No,No,Orta
5.0,350,16,"North Indian, Chinese, Fast Food",No,Yes,Orta
6.4,400,13,South Indian,No,No,Orta
6.0,400,160,"North Indian, Chinese",No,Yes,Orta
5.2,200,36,"Mithai, Street Food, North Indian",No,No,Ekonomik
6.4,700,17,Mughlai,No,Yes,Pahalı
6.6,350,11,"Fast Food, Street Food, Beverages",No,No,Orta
6.2,450,9,Cafe,No,No,Orta
6.4,450,26,Cafe,No,No,Orta
6.4,400,21,"Cafe, Street Food",No,Yes,Orta
6.6,600,25,Bakery,No,Yes,Orta
5.6,200,18,"Bakery, Desserts, Fast Food",No,Yes,Ekonomik
5.8,600,7,"Bakery, Desserts",No,Yes,Orta
6.0,600,35,"Bakery, Desserts",No,Yes,Orta
6.8,300,18,Bakery,No,Yes,Ekonomik
6.0,700,14,"North Indian, Chinese",No,No,Pahalı
6.4,300,15,"South Indian, North Indian",No,No,Ekonomik
6.8,550,18,Bakery,No,Yes,Orta
6.8,550,29,North Indian,No,Yes,Orta
5.4,450,22,"North Indian, Chinese",No,No,Orta
6.6,300,14,Street Food,No,No,Ekonomik
6.8,300,19,"Chinese, North Indian",No,No,Ekonomik
6.2,150,83,Street Food,No,Yes,Ekonomik
5.0,400,20,"North Indian, South Indian",No,Yes,Orta
5.0,400,19,North Indian,No,Yes,Orta
6.8,400,359,"South Indian, North Indian, Chinese",No,Yes,Orta
5.2,600,51,"North Indian, Chinese",No,Yes,Orta
6.2,400,53,"North Indian, Chinese",No,Yes,Orta
6.2,350,71,"Fast Food, Chinese",No,Yes,Orta
6.2,300,33,North Indian,No,No,Ekonomik
5.4,200,19,"Chinese, North Indian",No,No,Ekonomik
6.8,1000,132,"North Indian, Chinese, Continental",Yes,No,Pahalı
6.4,500,74,"North Indian, Mughlai, Chinese",No,Yes,Orta
6.0,500,6,"North Indian, Chinese",No,No,Orta
6.4,200,42,"Fast Food, North Indian",No,Yes,Ekonomik
6.2,100,29,"Street Food, Mithai",No,Yes,Ekonomik
6.4,300,14,"North Indian, Greek, Mughlai",No,No,Ekonomik
6.8,550,35,"Continental, North Indian, Chinese",No,Yes,Orta
6.4,300,45,Fast Food,No,Yes,Ekonomik
5.4,600,51,"North Indian, Mughlai, Chinese",No,Yes,Orta
5.8,700,22,"Biryani, North Indian",No,Yes,Pahalı
6.6,550,15,"Fast Food, Beverages",No,No,Orta
6.0,350,12,"North Indian, Chinese",No,Yes,Orta
6.4,500,38,"Fast Food, Pizza",No,Yes,Orta
6.4,400,15,"Fast Food, Beverages",No,No,Orta
5.4,350,23,"North Indian, Biryani, Fast Food, Chinese",No,No,Orta
6.6,600,23,"North Indian, Mughlai",No,Yes,Orta
5.6,400,31,"Chinese, North Indian, South Indian",No,Yes,Orta
9.8,500,223,"Mexican, American, Healthy Food",No,Yes,Orta
7.4,200,55,Bakery,No,Yes,Ekonomik
7.2,300,319,"Burger, Fast Food, Chinese",No,Yes,Ekonomik
7.0,550,46,"Chinese, Thai",No,Yes,Orta
7.8,400,54,"North Indian, Chinese",No,Yes,Orta
7.4,800,371,"Biryani, North Indian, Mughlai",No,Yes,Pahalı
7.2,300,26,"North Indian, Chinese",No,No,Ekonomik
7.0,500,66,"North Indian, Mughlai, Chinese",No,Yes,Orta
7.0,250,28,South Indian,No,Yes,Ekonomik
7.0,300,27,North Indian,No,Yes,Ekonomik
7.2,400,29,"Italian, Lebanese, Fast Food, Bakery",No,No,Orta
7.6,500,45,North Indian,No,Yes,Orta
7.0,1000,19,"Mediterranean, Mughlai, Thai, North Indian, Chinese",Yes,No,Pahalı
7.0,500,52,"Continental, North Indian, Asian",No,Yes,Orta
4.0,400,60,"North Indian, South Indian, Chinese",No,Yes,Orta
4.2,500,34,"North Indian, Mughlai, Chinese",No,Yes,Orta
4.4,350,136,Bakery,No,Yes,Orta
4.4,500,43,North Indian,No,No,Orta
8.0,500,34,"Healthy Food, Juices, Salad, Italian, Continental",No,Yes,Orta
8.6,400,33,"Beverages, Salad, Beverages",No,Yes,Orta
8.0,300,162,"Healthy Food, North Indian, Continental",No,No,Ekonomik
8.6,700,217,"Juices, Beverages, Healthy Food",No,Yes,Pahalı
6.2,550,195,North Indian,No,Yes,Orta
6.8,1000,210,Kashmiri,Yes,Yes,Pahalı
6.8,500,165,"Biryani, Lucknowi, North Indian",No,Yes,Orta
7.4,1000,98,"Italian, Pizza",No,Yes,Pahalı
7.6,700,115,"Japanese, Tibetan, Vietnamese, Korean",No,Yes,Pahalı
7.0,800,129,"Continental, Burger, American",No,Yes,Pahalı
7.8,600,164,"North Indian, Mughlai, Biryani",No,Yes,Orta
7.6,800,86,"Awadhi, North Indian, Mughlai",No,Yes,Pahalı
7.0,1200,269,"Continental, North Indian, Chinese",No,Yes,Pahalı
7.8,600,124,Fast Food,No,Yes,Orta
7.6,600,61,"Asian, Chinese, North Indian",No,Yes,Orta
7.8,500,90,"Italian, Fast Food",No,Yes,Orta
7.2,750,213,"North Indian, Mughlai",No,Yes,Pahalı
7.2,750,461,"Healthy Food, European, Continental, Salad",No,Yes,Pahalı
8.4,850,93,"Burger, American, Fast Food",No,Yes,Pahalı
8.8,750,161,"Cafe, Continental",No,Yes,Pahalı
8.2,1300,255,"Cafe, Continental, Italian, Pizza",Yes,Yes,Pahalı
8.0,600,88,"North Indian, Mughlai",No,Yes,Orta
8.2,650,134,"Chinese, Asian, Thai",No,Yes,Pahalı
8.2,650,152,"North Indian, Mughlai",No,Yes,Pahalı
8.2,600,151,"Fast Food, Italian, Pizza",No,Yes,Orta
6.8,600,42,"American, Fast Food",No,Yes,Orta
7.2,300,39,"Burger, Fast Food",No,Yes,Ekonomik
7.8,400,40,"Chinese, Thai, Asian",No,Yes,Orta
7.6,300,93,"Bakery, Desserts",No,Yes,Ekonomik
6.2,400,7,"Bakery, Desserts, Fast Food",No,No,Orta
6.8,1100,129,"Japanese, Sushi",Yes,Yes,Pahalı
5.8,800,107,"Bakery, Fast Food",No,No,Pahalı
7.2,550,59,Cafe,No,No,Orta
7.6,800,40,"North Indian, Mithai, Chinese, Street Food",Yes,No,Pahalı
7.2,1100,296,"Italian, Mexican, Cafe",Yes,Yes,Pahalı
7.2,1200,27,"Greek, Mediterranean",Yes,No,Pahalı
7.0,1800,259,"American, European, North Indian",Yes,Yes,Pahalı
7.0,350,34,"Bakery, Desserts, Beverages",No,No,Orta
7.6,1000,120,"North Indian, Street Food, Beverages",Yes,Yes,Pahalı
8.4,3200,1193,"Continental, North Indian, European, Finger Food",Yes,No,Pahalı
8.2,1400,147,"Cafe, Italian, European, Bakery",Yes,Yes,Pahalı
8.2,500,227,"Bakery, Desserts, Beverages",No,Yes,Orta
8.0,1600,192,"Continental, American, Italian",Yes,Yes,Pahalı
8.8,1000,83,"Cafe, Italian, Bakery",Yes,No,Pahalı
8.4,3000,77,"North Indian, Asian, European",Yes,No,Pahalı
8.2,1600,229,"North Indian, Mughlai",No,Yes,Pahalı
6.8,2000,52,"Pizza, Italian",Yes,No,Pahalı
7.2,3000,58,"European, Italian",Yes,No,Pahalı
6.6,650,25,Cafe,No,Yes,Pahalı
6.8,500,452,"Burger, Fast Food",No,Yes,Orta
5.2,2000,35,"North Indian, Chinese",Yes,No,Pahalı
5.2,500,134,"American, Fast Food, Burger",No,Yes,Orta
5.4,1100,426,North Indian,Yes,Yes,Pahalı
5.8,800,108,"South Indian, North Indian, Chinese",No,Yes,Pahalı
7.6,150,35,Cafe,No,No,Ekonomik
5.2,800,26,"North Indian, Mughlai",No,Yes,Pahalı
6.4,500,38,"North Indian, Chinese, Continental",No,Yes,Orta
7.2,550,86,Bengali,No,Yes,Orta
7.2,1000,29,North Indian,Yes,Yes,Pahalı
7.6,700,43,"North Indian, Mughlai, Biryani",No,Yes,Pahalı
7.2,1000,42,Bakery,No,No,Pahalı
8.0,2000,111,"North Indian, Mughlai",Yes,No,Pahalı
5.2,2500,20,"North Indian, Chinese, Continental",Yes,No,Pahalı
5.4,300,24,"North Indian, Italian, Mexican",No,No,Ekonomik
5.6,1000,261,"Mughlai, North Indian",Yes,Yes,Pahalı
9.2,2000,2093,"Finger Food, American, Continental, North Indian, Italian",No,No,Pahalı
7.2,1500,38,"Korean, Japanese, Chinese, Asian",No,No,Pahalı
7.8,1250,106,Japanese,Yes,No,Pahalı
7.6,1600,31,"Continental, Finger Food, Chinese, North Indian",Yes,No,Pahalı
8.2,700,84,"Mughlai, Hyderabadi",No,Yes,Pahalı
6.6,400,165,"North Indian, Chinese",No,Yes,Orta
5.4,1000,185,"North Indian, Chinese, Fast Food",No,Yes,Pahalı
5.6,550,48,"North Indian, Chinese",No,Yes,Orta
5.6,800,14,"Chinese, North Indian",Yes,No,Pahalı
6.4,850,37,"North Indian, Chinese",Yes,No,Pahalı
6.4,800,30,"Chinese, North Indian, Italian, Continental",No,Yes,Pahalı
6.6,800,336,"North Indian, Mughlai, Chinese",No,Yes,Pahalı
6.8,1000,106,"Continental, North Indian",Yes,Yes,Pahalı
6.8,600,50,"North Indian, Chinese",No,No,Orta
9.2,1000,150,"American, Continental, Burger",No,Yes,Pahalı
7.4,2200,416,Italian,Yes,Yes,Pahalı
7.2,500,32,"North Indian, Chinese, Thai",No,No,Orta
7.2,900,110,"North Indian, Mughlai",No,Yes,Pahalı
7.6,500,74,Italian,No,No,Orta
7.0,1500,81,"Japanese, Chinese, Asian, Malaysian, Thai, Vietnamese",No,Yes,Pahalı
7.0,450,116,Cafe,No,No,Orta
7.2,550,36,"North Indian, Mughlai, Biryani",No,Yes,Orta
7.4,700,224,"Healthy Food, Continental",No,No,Pahalı
7.2,1500,148,Chinese,No,No,Pahalı
7.8,2000,280,"Burmese, Chinese, Japanese, Malaysian, Thai",Yes,Yes,Pahalı
7.8,1700,67,"North Indian, Continental, Italian",Yes,No,Pahalı
7.4,2000,45,"Seafood, Mediterranean",Yes,No,Pahalı
7.0,700,27,"North Indian, Chinese",No,Yes,Pahalı
7.2,850,241,"Tibetan, Nepalese",No,Yes,Pahalı
8.4,1200,146,"Kashmiri, Mughlai",No,Yes,Pahalı
8.0,1000,259,"Pizza, Mexican, Chinese, Italian",Yes,Yes,Pahalı
8.0,700,20,"Continental, Healthy Food",No,Yes,Pahalı
6.2,500,138,"North Indian, South Indian, Street Food, Mithai",No,Yes,Orta
5.6,500,101,"American, Fast Food, Salad, Healthy Food",No,Yes,Orta
6.2,400,94,"South Indian, Chinese, North Indian",No,No,Orta
5.6,1400,7,"North Indian, Chinese",Yes,No,Pahalı
0.0,1400,2,"North Indian, Chinese",Yes,No,Pahalı
5.6,1500,15,"North Indian, Continental, Chinese",Yes,No,Pahalı
0.0,600,2,"North Indian, Chinese",No,No,Orta
5.8,1000,6,Finger Food,Yes,No,Pahalı
5.4,1300,13,"North Indian, Chinese, Continental",Yes,No,Pahalı
6.8,450,260,"North Indian, Mughlai",No,Yes,Orta
5.4,500,90,"Fast Food, Burger",No,Yes,Orta
7.2,800,144,"Italian, Pizza",No,Yes,Pahalı
7.2,600,243,"Burger, Desserts, Fast Food",No,Yes,Orta
7.6,600,121,"North Indian, Mughlai",No,Yes,Orta
7.6,700,183,Cafe,No,No,Pahalı
8.0,500,647,Fast Food,No,Yes,Orta
7.6,1500,73,Cafe,Yes,No,Pahalı
0.0,2100,0,Drinks Only,Yes,No,Pahalı
5.4,1000,96,"Fast Food, North Indian, Chinese",Yes,No,Pahalı
6.8,300,41,"Fast Food, Street Food",No,Yes,Ekonomik
5.6,1850,91,"North Indian, American, Italian",Yes,No,Pahalı
7.2,1000,70,Japanese,Yes,No,Pahalı
5.6,1500,21,"Asian, Bakery",Yes,No,Pahalı
7.4,500,364,Street Food,No,No,Orta
7.4,1000,179,Lucknowi,No,No,Pahalı
6.8,1600,23,Finger Food,Yes,No,Pahalı
7.2,4500,218,Finger Food,Yes,No,Pahalı
8.2,4000,38,Italian,Yes,No,Pahalı
6.0,1900,6,Finger Food,Yes,No,Pahalı
6.0,1400,19,"North Indian, Continental, Asian",Yes,No,Pahalı
6.0,1200,10,"North Indian, Finger Food",Yes,No,Pahalı
6.4,2000,137,"North Indian, Continental, Chinese",Yes,No,Pahalı
5.6,300,45,South Indian,No,No,Ekonomik
6.6,650,22,Cafe,No,No,Pahalı
6.6,400,38,"Fast Food, Chinese, Bengali",No,Yes,Orta
6.4,300,21,"North Indian, Chinese, Fast Food",No,Yes,Ekonomik
6.2,450,20,Cafe,No,No,Orta
5.6,800,15,"Chinese, Thai, Japanese, Tibetan",No,No,Pahalı
6.8,750,69,"Continental, Italian, Mexican",No,Yes,Pahalı
6.4,550,75,"North Indian, Chinese, Mughlai",No,Yes,Orta
5.2,1800,115,"Continental, North Indian, Mughlai, Chinese",Yes,No,Pahalı
6.4,1200,39,Japanese,Yes,No,Pahalı
5.6,400,36,"North Indian, Chinese, Mughlai",No,No,Orta
5.4,600,61,"North Indian, Mughlai, Chinese",No,No,Orta
5.6,1200,23,"North Indian, Chinese",Yes,No,Pahalı
6.2,600,82,"Arabian, Lebanese",No,Yes,Orta
6.2,2200,13,Finger Food,Yes,No,Pahalı
7.6,2000,283,"Chinese, Asian",No,No,Pahalı
7.6,1600,665,"Mughlai, Pakistani, North Indian",Yes,Yes,Pahalı
7.2,550,69,"Bakery, Desserts, Fast Food",No,Yes,Orta
7.4,600,198,"Italian, Chinese, Continental, Thai, Mediterranean, Lebanese",No,Yes,Orta
7.0,2500,57,"American, Seafood, Italian, Japanese, Thai",Yes,No,Pahalı
7.2,200,43,"Bakery, Desserts, Fast Food",No,Yes,Ekonomik
4.6,350,31,"Chinese, North Indian, South Indian, Street Food",No,Yes,Orta
4.8,600,35,"North Indian, Chinese",No,No,Orta
8.2,600,246,Bakery,No,Yes,Orta
6.6,600,31,Cafe,No,No,Orta
7.0,1500,240,"Continental, Asian, North Indian, Italian",Yes,No,Pahalı
7.4,1500,1902,"Finger Food, Continental, North Indian, Italian, Chinese",No,No,Pahalı
8.2,2000,2806,"North Indian, Continental, Mughlai, Asian",Yes,No,Pahalı
6.4,650,13,Cafe,No,No,Pahalı
6.0,350,5,"Ice Cream, Desserts",No,No,Orta
6.4,500,68,"Fast Food, Burger",No,No,Orta
5.2,450,120,"South Indian, Chinese",No,No,Orta
7.4,650,18,"Cafe, American, Desserts, Italian, Bakery",No,Yes,Pahalı
7.0,700,66,Cafe,No,No,Pahalı
5.4,800,67,"North Indian, Mughlai",No,Yes,Pahalı
6.6,550,40,Thai,No,No,Orta
6.8,650,39,Cafe,No,Yes,Pahalı
6.8,600,19,"Cafe, Italian",No,No,Orta
5.8,750,42,Chinese,No,No,Pahalı
6.8,500,234,"Fast Food, Burger",No,Yes,Orta
5.8,750,501,"Gujarati, Rajasthani",Yes,No,Pahalı
5.2,700,61,"Street Food, North Indian",No,Yes,Pahalı
6.6,500,81,"American, Fast Food, Salad, Healthy Food",No,Yes,Orta
6.8,350,118,Fast Food,No,No,Orta
6.2,700,13,"Mughlai, North Indian",No,No,Pahalı
7.4,600,26,"Burger, Desserts, Fast Food",No,Yes,Orta
7.2,600,185,"North Indian, South Indian, Chinese, Street Food, Fast Food, Mithai, Desserts",No,No,Orta
7.2,400,27,Beverages,No,No,Orta
7.2,1000,496,"North Indian, Mughlai, South Indian, Rajasthani, Street Food",Yes,Yes,Pahalı
7.0,1500,55,"North Indian, Continental, Chinese",Yes,No,Pahalı
7.0,900,205,"Pizza, Italian",No,No,Pahalı
7.4,2500,730,"American, Tex-Mex",Yes,Yes,Pahalı
7.4,400,31,"European, American, Street Food",No,Yes,Orta
7.6,1400,468,"North Indian, Chinese, Continental",Yes,No,Pahalı
4.6,600,29,Pizza,No,No,Orta
4.2,1800,90,"Continental, European, North Indian",Yes,No,Pahalı
4.6,600,34,"Biryani, North Indian",No,Yes,Orta
8.0,900,62,"Cafe, North Indian",Yes,No,Pahalı
6.6,450,34,Cafe,No,No,Orta
6.8,1500,165,"Lebanese, North Indian",Yes,Yes,Pahalı
6.0,200,4,Biryani,No,No,Ekonomik
5.8,400,4,North Indian,No,No,Orta
6.4,500,5,North Indian,No,No,Orta
6.4,500,18,North Indian,No,No,Orta
6.4,700,31,"North Indian, Mughlai, Chinese",No,No,Pahalı
6.4,100,7,Fast Food,No,No,Ekonomik
5.8,350,5,"Raw Meats, North Indian, Fast Food",No,No,Orta
6.8,200,27,"Fast Food, Chinese",No,Yes,Ekonomik
6.4,400,28,North Indian,No,No,Orta
6.2,600,4,"North Indian, South Indian, Fast Food, Street Food, Mithai",No,No,Orta
6.6,600,25,"North Indian, Chinese",No,No,Orta
6.2,150,12,North Indian,No,No,Ekonomik
5.8,200,5,North Indian,No,No,Ekonomik
6.2,1000,25,"North Indian, Mughlai, South Indian, Chinese",Yes,No,Pahalı
5.2,500,12,"Fast Food, Chinese",No,Yes,Orta
6.0,450,6,"Fast Food, Beverages",No,No,Orta
6.2,250,17,North Indian,No,No,Ekonomik
6.0,400,13,"North Indian, South Indian, Chinese",No,No,Orta
6.6,500,21,"North Indian, Chinese",No,No,Orta
6.8,400,60,"North Indian, Chinese",No,Yes,Orta
6.8,600,33,"Mughlai, Chinese",No,No,Orta
5.4,800,11,"North Indian, Mughlai",No,Yes,Pahalı
5.8,400,8,"Pizza, Fast Food",No,No,Orta
6.4,700,25,North Indian,No,No,Pahalı
6.2,450,7,North Indian,No,No,Orta
5.6,150,4,Street Food,No,No,Ekonomik
6.0,150,11,"Bakery, Desserts, Fast Food",No,No,Ekonomik
5.8,400,10,"Bakery, Mithai, Fast Food",No,No,Orta
6.0,700,6,North Indian,No,No,Pahalı
5.0,500,12,"North Indian, Chinese, Street Food, Fast Food",No,Yes,Orta
6.6,250,26,"Bakery, Fast Food, Chinese",No,No,Ekonomik
6.0,200,15,Fast Food,No,No,Ekonomik
5.6,200,16,Chinese,No,No,Ekonomik
7.0,550,31,"North Indian, Mughlai",No,No,Orta
7.2,100,18,"Ice Cream, Desserts",No,No,Ekonomik
7.0,800,25,Bakery,No,No,Pahalı
0.0,300,3,North Indian,No,No,Ekonomik
0.0,600,3,"South Indian, Biryani",No,No,Orta
0.0,150,1,North Indian,No,No,Ekonomik
0.0,200,1,North Indian,No,No,Ekonomik
0.0,300,3,"Burger, Fast Food, Chinese",No,No,Ekonomik
4.4,800,93,"Italian, Pizza, Fast Food",No,Yes,Pahalı
7.2,400,84,Bakery,No,No,Orta
4.8,700,112,"Pizza, Fast Food",No,No,Pahalı
8.2,500,74,"Healthy Food, Juices, Salad, Italian, Continental",No,Yes,Orta
6.4,1800,12,Korean,No,No,Pahalı
6.8,800,36,"South Indian, North Indian",Yes,Yes,Pahalı
7.6,1400,101,"Italian, Pizza, Cafe",No,Yes,Pahalı
7.0,650,45,"Burger, American, Fast Food",No,Yes,Pahalı
7.8,1700,81,"North Indian, Continental, Asian",No,No,Pahalı
7.4,600,33,"Healthy Food, Beverages",No,Yes,Orta
7.0,1500,37,"Japanese, Chinese, Thai",Yes,No,Pahalı
7.0,700,16,Cafe,No,No,Pahalı
6.2,300,14,Ice Cream,No,No,Ekonomik
6.2,350,9,"Street Food, North Indian, Mithai",No,No,Orta
5.8,450,19,"Fast Food, Chinese",No,No,Orta
6.4,700,15,"Cafe, Fast Food",No,No,Pahalı
6.4,200,18,"Bakery, Street Food",No,No,Ekonomik
6.4,550,6,Bakery,No,Yes,Orta
5.8,200,4,"Chinese, Fast Food",No,No,Ekonomik
6.4,200,10,Desserts,No,No,Ekonomik
5.8,600,4,"North Indian, Chinese",No,No,Orta
6.2,400,24,"Ice Cream, Desserts",No,No,Orta
5.4,800,11,"North Indian, Chinese",Yes,No,Pahalı
5.0,250,9,"Street Food, Mithai, South Indian, North Indian, Chinese",No,Yes,Ekonomik
6.0,300,4,"Mithai, Street Food, Chinese",No,No,Ekonomik
6.2,350,12,North Indian,No,No,Orta
6.2,400,17,"Continental, Chinese, North Indian, Mughlai",No,No,Orta
6.0,250,5,"North Indian, Mughlai, Chinese",No,No,Ekonomik
0.0,400,1,"North Indian, Mughlai",No,No,Orta
0.0,600,1,"North Indian, Mughlai, South Indian",No,No,Orta
0.0,450,2,"Bakery, Desserts",No,No,Orta
0.0,200,0,"Bakery, Fast Food",No,No,Ekonomik
0.0,300,0,Street Food,No,No,Ekonomik
0.0,100,1,"Street Food, Mithai",No,No,Ekonomik
0.0,350,0,Fast Food,No,No,Orta
0.0,200,0,"North Indian, Street Food, Mithai",No,No,Ekonomik
0.0,700,1,"Chinese, North Indian",No,No,Pahalı
0.0,500,0,"North Indian, Mughlai, Awadhi",No,No,Orta
0.0,600,0,"North Indian, Chinese",No,No,Orta
0.0,600,0,"Chinese, North Indian",No,No,Orta
0.0,150,0,"Bakery, Fast Food",No,No,Ekonomik
0.0,250,1,"North Indian, Chinese",No,No,Ekonomik
0.0,450,0,"North Indian, Chinese, South Indian, Fast Food",No,No,Orta
0.0,400,2,"Chinese, Fast Food",No,No,Orta
0.0,600,0,"North Indian, South Indian, Chinese",No,No,Orta
0.0,400,1,"North Indian, Mughlai, Chinese",No,No,Orta
0.0,200,2,"Bakery, Desserts",No,No,Ekonomik
0.0,700,0,"Bakery, Desserts",No,No,Pahalı
0.0,150,0,North Indian,No,No,Ekonomik
0.0,600,0,"North Indian, Chinese",No,No,Orta
0.0,600,1,"Pizza, Fast Food",No,No,Orta
0.0,300,2,North Indian,No,No,Ekonomik
0.0,450,2,"North Indian, South Indian, Chinese",No,No,Orta
0.0,250,1,Biryani,No,No,Ekonomik
0.0,400,0,North Indian,No,No,Orta
0.0,500,2,Mithai,No,No,Orta
0.0,350,3,North Indian,No,No,Orta
0.0,150,0,Street Food,No,No,Ekonomik
0.0,500,0,North Indian,No,No,Orta
0.0,300,0,North Indian,No,No,Ekonomik
0.0,400,1,North Indian,No,No,Orta
6.4,1500,13,"Continental, North Indian, Chinese",Yes,No,Pahalı
6.8,3000,20,"Continental, Finger Food",Yes,No,Pahalı
6.4,1200,26,"Bakery, Desserts",No,No,Pahalı
7.4,2200,176,"Continental, American, North Indian, Chinese",Yes,No,Pahalı
7.4,3000,340,"North Indian, Mughlai",Yes,No,Pahalı
6.0,2000,21,"Korean, Chinese",Yes,No,Pahalı
6.2,350,84,"Bakery, Desserts, Fast Food",No,Yes,Orta
6.6,650,41,Cafe,No,No,Pahalı
5.6,450,18,Cafe,No,No,Orta
6.4,400,10,Cafe,No,No,Orta
5.6,700,16,"North Indian, Mughlai",No,Yes,Pahalı
6.0,900,61,"North Indian, Mughlai",Yes,Yes,Pahalı
5.6,700,70,"Pizza, Fast Food",No,No,Pahalı
5.6,350,16,"Raw Meats, North Indian, Fast Food",No,No,Orta
6.8,500,57,"Bakery, Beverages",No,No,Orta
6.0,250,33,"Bakery, Fast Food",No,Yes,Ekonomik
6.4,500,92,"American, Fast Food, Salad, Healthy Food",No,Yes,Orta
6.6,200,22,"Mithai, Street Food",No,No,Ekonomik
7.4,500,25,"Healthy Food, North Indian, Beverages",No,No,Orta
6.0,500,71,"Burger, Fast Food",No,Yes,Orta
6.4,700,100,"Chinese, Thai",No,Yes,Pahalı
4.6,600,32,"Biryani, North Indian",No,Yes,Orta
7.0,1500,194,"North Eastern, Continental, South Indian, Fast Food",Yes,No,Pahalı
6.4,200,15,Mithai,No,No,Ekonomik
6.2,250,16,North Indian,No,No,Ekonomik
7.2,600,315,"North Indian, South Indian, Chinese, Street Food, Fast Food, Mithai, Desserts",No,No,Orta
4.8,1800,53,Finger Food,No,No,Pahalı
6.0,200,4,North Indian,No,No,Ekonomik
6.0,1500,8,"North Indian, Continental",Yes,No,Pahalı
0.0,500,1,North Indian,No,No,Orta
5.6,150,6,"Chinese, Street Food",No,No,Ekonomik
6.0,400,4,Bakery,No,No,Orta
5.8,400,6,"North Indian, South Indian, Chinese",No,No,Orta
5.8,800,4,"North Indian, Chinese, Fast Food, Desserts",No,No,Pahalı
6.4,300,20,"Burger, Fast Food",No,No,Ekonomik
6.2,300,20,Fast Food,No,No,Ekonomik
5.6,450,34,Cafe,No,No,Orta
6.6,300,36,"Bakery, Desserts",No,Yes,Ekonomik
6.0,200,5,"Street Food, Bakery",No,No,Ekonomik
6.2,200,41,"Bakery, Desserts",No,No,Ekonomik
6.2,200,7,"Bakery, Desserts",No,No,Ekonomik
6.2,500,7,"Mexican, Lebanese, Italian, Continental, Thai",No,No,Orta
5.6,600,8,"North Indian, Chinese",No,No,Orta
5.8,200,10,Bakery,No,No,Ekonomik
6.4,200,11,North Indian,No,No,Ekonomik
6.2,400,21,"North Indian, Chinese",No,No,Orta
6.8,350,25,"Beverages, Fast Food",No,No,Orta
6.6,200,19,Ice Cream,No,Yes,Ekonomik
6.6,200,43,Ice Cream,No,Yes,Ekonomik
5.2,250,18,Beverages,No,No,Ekonomik
5.4,500,17,"American, Fast Food, Burger",No,Yes,Orta
6.6,300,69,"South Indian, North Indian, Chinese, Fast Food",No,No,Ekonomik
6.8,300,25,"South Indian, North Indian",No,No,Ekonomik
6.4,600,52,"North Indian, Chinese",No,Yes,Orta
5.8,800,16,"North Indian, Continental",Yes,No,Pahalı
6.0,400,5,"South Indian, Chinese",No,No,Orta
6.2,600,8,"North Indian, Chinese",No,Yes,Orta
5.6,400,9,"Raw Meats, Fast Food",No,No,Orta
6.0,500,30,"North Indian, Chinese, South Indian",No,Yes,Orta
6.4,450,34,North Indian,No,No,Orta
5.8,600,26,"Mithai, South Indian, Chinese, Street Food, North Indian",No,No,Orta
6.4,600,13,"Healthy Food, Continental",No,No,Orta
5.4,650,9,"Chinese, North Indian",No,Yes,Pahalı
6.0,650,21,North Indian,No,No,Pahalı
6.2,900,17,"North Indian, Chinese",Yes,No,Pahalı
6.6,900,32,"North Indian, Mughlai, Chinese, South Indian",Yes,No,Pahalı
5.8,200,6,North Indian,No,No,Ekonomik
5.0,600,70,"Biryani, North Indian",No,Yes,Orta
5.6,400,6,North Indian,No,No,Orta
6.0,1000,5,"North Indian, Chinese, Continental",Yes,No,Pahalı
7.0,150,32,Pizza,No,No,Ekonomik
7.0,200,64,South Indian,No,No,Ekonomik
0.0,600,3,"Chinese, Mughlai, North Indian",No,No,Orta
0.0,350,2,"North Indian, Mughlai",No,No,Orta
0.0,500,3,"North Indian, Mughlai",No,No,Orta
0.0,400,3,Bakery,No,Yes,Orta
0.0,350,3,North Indian,No,No,Orta
0.0,700,2,Mughlai,No,No,Pahalı
0.0,400,3,"Street Food, Mithai, North Indian, South Indian, Chinese",No,No,Orta
4.8,1000,23,"North Indian, Chinese, Fast Food",No,Yes,Pahalı
4.8,300,18,"Chinese, Fast Food",No,No,Ekonomik
4.8,400,26,"North Indian, South Indian, Chinese",No,Yes,Orta
6.0,400,4,"Bakery, Desserts",No,No,Orta
5.8,400,6,"Chinese, North Indian",No,No,Orta
5.8,1000,5,"North Indian, Chinese",Yes,No,Pahalı
5.6,500,10,"North Indian, Chinese, Mughlai",No,No,Orta
6.0,500,4,"Mughlai, North Indian",No,No,Orta
6.4,350,12,"Bakery, Desserts, Fast Food",No,No,Orta
5.8,650,4,"North Indian, Chinese, Continental",No,Yes,Pahalı
6.6,450,14,"Chinese, Thai",No,Yes,Orta
